PRODUTO;UNIDADE;ANO;REGIAO;ESTADO;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;TOTAL
TERRA;b;2011;REGIAO SUDESTE;ESPIRITO SANTO;383068,3949;358180,603;381244,7468;400632,8931;428468,6104;451225,4536;477251,0525;463220,681;466259,1041;498651,4228;444729,8774;425661,5901;5178594,43
TERRA;b;2012;REGIAO NORTE;AMAZONAS;1055866,316;959285,7177;1035868,117;952047,593;1034075,961;1013637,224;1025268,215;1035298,701;1004672,924;1043817,934;1022111,611;1100662,721;12282613,03
TERRA;b;2012;REGIAO NORDESTE;CEARA;43993,0571;40253,51346;42566,84268;41006,26534;40572,75276;37032,67787;39252,54052;37304,4354;34803,9466;32826,34228;32795,99394;34352,18099;456760,5489
TERRA;b;2012;REGIAO NORDESTE;RIO GRANDE DO NORTE;1539598,203;1503808,954;1614865,089;1576051,606;1646047,762;1568146,667;1606888,862;1616811,75;1553805,58;1572727,768;1547085,403;1619906,41;18965744,05
TERRA;b;2012;REGIAO NORDESTE;ALAGOAS;140832,6329;137300,3288;128149,2819;145085,7146;146260,9461;136330,9455;133523,7841;136185,0157;135092,8172;125087,5474;136899,0325;145924,8185;1646672,865
TERRA;b;2012;REGIAO NORDESTE;SERGIPE;988839,1059;932107,9784;988692,8116;938670,953;984250,7769;943697,2142;968181,0154;965662,0816;951666,1438;978836,3307;924706,1331;982160,2579;11547470,8
TERRA;b;2012;REGIAO NORDESTE;BAHIA;1312708,581;1206296,787;1304081,739;1243519,36;1329667,919;1303692,785;1309501,31;1338999,601;1278331,615;1361309,514;1328928,413;1394552,432;15711590,06
TERRA;b;2012;REGIAO SUDESTE;ESPIRITO SANTO;364571,818;384433,9609;420385,7915;411347,8251;476795,7575;479274,8609;524154,668;496964,1968;489307,5787;481420,422;440025,9749;466418,678;5435101,532
TERRA;b;2013;REGIAO NORTE;AMAZONAS;1051767,939;928133,8612;1012627,08;975323,9155;984433,0071;890105,2926;917145,626;910974,379;847077,8974;924050,0763;901936,2994;926394,0369;11269969,41
TERRA;b;2013;REGIAO NORDESTE;MARANHAO;0;0;0;0;0;2884,498815;4470,985579;4470,985642;4326,760236;4470,985642;4326,760236;4470,985705;29421,96186
TERRA;b;2013;REGIAO NORDESTE;CEARA;33764,88885;31011,76983;34733,89698;33689,92061;35066,40779;34492,81486;35653,80685;35859,05593;34517,52123;35443,19257;33828,42851;34910,63435;412972,3384
